id,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,category,difficulty_level,created_at
1750,Which AWS service provides a simple way to set up a new multi-account AWS environment and govern it at scale?,AWS Trusted Advisor,AWS Security Hub,AWS Control Tower,AWS Resource Access Manager,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:50.022375
1751,Which AWS Trusted Advisor check includes the verification of AWS CloudTraii logging?,Performance,Fault tolerance,Security,Service limits,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:50.356797
1752,Which AWS Cloud benefit occurs when a company does not have to maintain overprovisioned resources that support peak workloads during periods of low activity?,Pay-as-you-go pricing,Agility,Economy of scale,Elasticity,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:50.765750
1753,A company needs to use third-party software for its workload on AWS. Which AWS service or feature can the company use to purchase the software?,AWS Resource Access Manager,AWS Managed Services,AWS License Manager,AWS Marketplace,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:51.072659
1754,What is a benefit of using AWS Auto Scaling?,Pay-as-you-go pricing is only available for the use of AWS Auto Scaling.,AWS Auto Scaling is billed based on the duration of a given event.,Users only pay for the AWS resources that are deployed with AWS Auto Scaling.,Bulk discount pricing is automatically applied to AWS Auto Scaling usage.,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:51.380107
1755,Which AWS service or feature can help a company determine if it has Amazon S3 buckets that are publicly available?,AWS Service Health Dashboard,Amazon CloudWatch Logs,AWS Trusted Advisor,AWS Service Catalog,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:51.789412
1756,A company wants an in-memory data store that is compatible with open source in the cloud. Which AWS service should the company use?,Amazon DynamoDB,Amazon ElastlCache,Amazon Elastic Block Store (Amazon EBS),Amazon Redshift,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:52.118599
1757,A company needs to migrate an existing on-premises database to the AWS Cloud. The company must be able to install custom software on the database instance. Which AWS service can the company use to meet these requirements?,Amazon DynamoDB,Amazon RDS,Amazon EC2,Amazon Redshift,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:52.390222
1758,Which AWS service continuously audits AWS resources and enables them to assess overall compliance?,Amazon CloudWatch,AWS Config,AWS CloudTrail,AWS Trusted Advisor,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:52.814875
1759,A developer has an AWS account and needs access to another account's test database. Which AWS service or feature can the developer use to gain access to the test database?,Amazon Macie,Security groups,IAM roles,AWS Trusted Advisor,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:53.223659
1760,"According to the AWS shared responsibility model, the customer is responsible for maintaining:",physical access to the AWS network.,the patching of the host operating system.,data encryption in Amazon S3.,the operating system for Amazon DynamoD,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:53.530625
1761,"Which AWS service should a cloud practitioner use to receive real-time guidance for provisioning resources, based on AWS best practices related to security, cost optimization, and service limits?",AWS Trusted Advisor,AWS Config,AWS Security Hub,AWS Systems Manager,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:53.837865
1762,"According to the AWS shared responsibility model, what responsibility does a customer have when using Amazon RDS to host a database?",Manage connections to the database,Install Microsoft SQL Server,Design encryption-at-rest strategies,Apply minor database patches,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:54.145887
1763,"Which pillar of the AWS Well-Architected Framework aligns with the ability to make frequent, small, and reversible changes to AWS Cloud architecture?",Security,Cost optimization,Operational excellence,Performance efficiency,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:54.452259
1764,A company needs access to cloud support engineers 24 hours a day. 7 days a week. What is the LEAST expensive AWS Support plan that meets this requirement?,AWS Basic Support,AWS Business Support,AWS Developer Support,AWS Enterprise Supportd,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:54.760079
1765,Which AWS service can run a managed PosigreSQL database that provides online transaction processing (OLTP)?,Amazon DynamoDB,Amazon Athena,Amazon RDS,Amazon EMR,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:55.067538
1766,A user is moving a workload from a local data center to an architecture that is distributed between the local data center and the AWS Cloud. Which type of migration is this?,On-premises to cloud native,Hybrid to cloud native,On-premises to hybrid,Cloud native to hybrid,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:55.374561
1767,How can a user protect an Amazon EC2 instance from a suspicious IP address?,Block the IP on the inbound rule of a network ACL.,Block the IP on the outbound rule of a security group.,Block the IP on the inbound rule of a security group and network ACL.,Block the IP on the outbound rule of a security group and network ACL.,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:55.681319
1768,Which of the following are features of network ACLs as they are used in the AWS Cloud? (Select TWO.),They are stateless.,They are stateful.,They evaluate all rules before allowing traffic.,"They process rules in order, starting with the lowest numbered rule, when deciding whether to allow traffic.",,BD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:55.988387
1769,A company needs to optimize the cost of its AWS architecture by identifying unused resources and idle resources. Which AWS service or feature should the company use to meet this requirement?,Amazon Inspector,AWS Config,AWS Trusted Advisor,AWS Organizations,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:56.295574
1770,"Which benefit of cloud computing gives a company the ability to deploy applications to users all over the world through a network of AWS Regions, Availability Zones, and edge locations?",Economy of scale,Global reach,Agility,High availability,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:56.546250
1771,Which of the following are among the five pillars of the AWS Well-Architected Framework? (Select TWO.),High availability,Performance efficiency,Cost optimization,Going global In minutes,,BC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:56.809344
1772,A company wants to improve the availability and performance of its application with users in different countries. Which AWS service or feature will help improve availability by routing traffic to the closest healthy endpoints?,AWS Direct Connect,AWS Global Accelerator,AWS Well-Architected Tool,AWS CLI,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:57.099597
1773,A company wants to provision an Amazon EC2 instance at the lowest possible cost for a long-term project. The EC2 instance cannot be interrupted. Which EC2 pricing model meets these requirements?,Spot Instances,On-Demand Instances,Reserved Instances,Dedicated Hosts,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:57.364684
1774,A company manages an on-premises MySQL database on a Windows server. The company wants to migrate the database to AWS and needs a solution that will reduce the administrative overhead of the database. Which AWS service will meet this requirement?,Amazon Redshift,Amazon ElastiCache,Amazon RDS,Amazon Elastic File System (Amazon EFS),,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:57.619663
1775,A company needs a data warehouse for analytical workloads. The data warehouse must support standard SQL queries. Which AWS service meets these requirements?,Amazon EMR,Amazon Athena,Amazon Redshift,Amazon RDS,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:57.871629
1776,What is one of the core principles to follow when designing a highly available application in the AWS Cloud?,Design using a serverless architecture.,Assume that all components within an application can fail.,Design AWS Auto Scaling Into every application.,Design all components using open-source code.,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:58.141488
1777,"A company wants to store its noncritical, infrequently accessed data in Amazon S3. The data must be retrievable within seconds. Which S3 storage class meets these requirements MOST cost-effectively?",S3 Glacier,S3 Standard-Infrequent Access (S3 Standard-IA),S3 Intelligent-Tiering,S3 One Zone-Infrequent Access (S3 One Zone-IA),,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:58.602243
1778,A company's IT administrator needs to configure the AWS CLI for programmatic access to AWS Cloud services for the company's employees. Which credential components must the IT administrator use to meet this requirement? (Select TWO.),A public key,A secret access key,An IAM role,An access key ID,,DE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:58.958493
1779,Which tasks require the use of AWS account root user credentials? (Select TWO.),Configure multi-factor authentication (MFA) delete for an Amazon S3 bucket.,Create an IAM administrator access policy.,Open a support ticket with AWS to request an increase to service quotas.,Change an AWS Support plan.,,BD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:59.208701
1780,An auditor is preparing for an annual security audit. The auditor requests certification details for a company's AWS hosted resources across multiple Availability Zones in the us-east-1 Region. How should the company respond to the auditor's request?,Open an AWS Support ticket to request that the AWS technical account manager (TAM) respond and help the auditor,Open an AWS Support ticket to request that the auditor receive approval to conduct an onsite assessment of the AWS data centers in which the company operates.,Explain to the auditor that AWS does not need to be audited because the company's application is hosted in multiple Availability Zones.,Use AWS Artifact to download the applicable report for AWS security controls. Provide the report to the auditor.,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:59.470316
1781,Which AWS service allows a user to provision a managed MySQL DB instance?,Amazon DynamoDB,Amazon Redshift,Amazon RDS,AWS Database Migration Service (AWS DMS),,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:59.721743
1782,"A company has the AWS Basic Support plan. The company needs assistance in its efforts to deploy, test, and improve its AWS environment Which form of assistance can the company use at no cost?",AWS Support API for programmatic case management,AWS technical account manager (TAM) consultation,"AWS online documentation, whitepapers. blogs. and support forums",In-person AWS training classes with an accredited instructor,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:48:59.972428
1783,"Which AWS service keeps track of SSUTLS certificates, creates new certificates, and processes renewals?",AWS Identity and Access Management (IAM),AWS Certificate Manager (ACM),AWS Config,AWS Trusted Advisor,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:00.222498
1784,A company plans to migrate an on-premises Microsoft SQL Server database to the AWS Cloud The database supports a legacy application. The company wants to maintain administrative control of the database configuration and host operating system Which AWS service or feature meets these requirements?,Amazon RDS for SOL Server B . SQL Server on Amazon EC2,Amazon DynamoDB,Amazon DocumentDB,,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:00.472659
1785,What is a benefit of using an Elastic Load Balancer (ELB) with applications running in the AWS Cloud?,An ELB will automatically scale resources to meet capacity needs.,An ELB can balance traffic across multiple compute resources.,An ELB can span multiple AWS Regions.,An ELB can balance traffic between multiple internet gateways.,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:00.809577
1786,An IT manager needs to monitor company AWS resources and collect utilization metrics from Amazon EC2 instances and Amazon DynamoDB. Which AWS service can the IT manager use to meet these requirements?,AWS CloudTrall,AWS Config,Amazon CloudWatch,AWS Trusted Advisor,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:01.210726
1787,Which AWS compute service automatically scales resources up or down to meet application workload demands?,Amazon Simple Queue Service (Amazon SOS),Amazon EC2,Amazon Aurora,AWS Lambda,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:01.518115
1788,"Which tasks are the customer's responsibility, according to the AWS shared responsibility model? (Select TWO.)",Establish the global infrastructure.,Perform client-side data encryption.,Configure IAM credentials.,Secure edge locations.,,BC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:01.770288
1789,A company has an Amazon EC2 instance that must access AWS Secrets Manager to retrieve credentials. Which identity or service is required by the EC2 Instance to perform the task?,Multi-factor authentication (MFA),IAM role,IAM group,Security groups,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:02.158612
1790,A company is planning to migrate an important production workload to the AWS Cloud. The company needs an AWS Support plan that offers a response time of less than 15 minutes lo businesscritical issues Which AWS Support plan aligns with this requirement?,AWS Basic Support,AWS Developer Support,AWS Business Support,AWS Enterprise Support,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:02.644289
1791,Which AWS services or tools can help optimize the costs of AWS resources? (Select TWO.),AWS Trusted Advisor,AWS CloudTrail,AWS Personal Health Dashboard,AWS Pricing Calculator,,DE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:03.054981
1792,Which type of AWS storage is ephemeral and is deleted when an Amazon EC2 instance is stopped or terminated'',Amazon Elastic Block Store (Amazon EBS),Amazon EC2 instance store,Amazon Elastic File System (Amazon EFS),Amazon S3,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:03.406897
1793,A developer has a stateful web server on-premises that is being migrated to AWS. The developer must have greater elasticity in the new design How should the developer re-factor the application to make it more elastic? (Select TWO.),Use pessimistic concurrency on Amazon DynamoDB,Use Amazon CloudFront with an Auto Scaling group.,Use Amazon CloudFront with an AWS Web Application Firewall,Store session state data m an Amazon DynamoDB table.,,DE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:03.765886
1794,"A company has a two-tier application running on an Amazon EC2 server that handles all of its AWS based e-commerce activity. During peak times, the backend servers that process orders are overloaded with requests This results in some orders falling to process A developer needs to create a solution that will re factor the application Which steps will allow for more flexibility during peak times, while still remaining cost-effective? (Select TWO.)",Increase the backend T2 EC2 instance sizes to xi to handle the largest possible load throughout the year,Implement an Amazon SQS queue to decouple the front-end and backend servers.,Use an Amazon SNS queue to the couple the front-end and backend servers,Migrate the backend servers to on-premises and pull from an Amazon SNS queue,,BE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:04.066131
1795,"A developer has discovered that an application responsible for processing messages in an Amazon SQS queue is routinely falling behind The application is capable of processing multiple messages in one invocation, but is only receiving one message at a time What should the developer do to increase the number of messages the application receives?",Call the ChangeMessageVisibility API for the queue and set MaxNumberOfMessages to a value greater than the default of,Call the AddPormission API to set MaxNumborOfMessages for the ReceiveMessage action to a value greater than the default of 1,Call the ReceiveMessage API to set MaxNumberOfM ess ages to a value greater than the default of 1.,Call the SetQueue Attributes API for the queue and set MaxNumberOfMessages to a value greater than the default of 1,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:04.385340
1796,"A company has a website that displays a daily newsletter. When a user visits the website, an AWS Lambda function processes the browser's request and queries the company's on-premises database to obtain the current newsletter. The newsletters are stored in English. The Lambda function uses the Amazon Translate TranslateText API operation to translate the newsletters and the translation is displayed to the user Due to an increase in popularity, the website's response time has slowed. The database is overloaded The company cannot change the database and needs a solution that improves the response time of the Lambda function Which solution meets these requirements?",Change to asynchronous Lambda function invocation,Cache the translated newsletters in the Lambda /tmp directory,Enable TranslateText API caching.,Change the Lambda function to use parallel processing,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:04.693508
1797,"A Lambda function processes data before sending it to a downstream service. Each piece of data is approximately 1MB in size. After a security audit, the function is now required to encrypt the data before sending it downstream Which API call is required to perform the encryption?",Pass the data to the KMS ReEncrypt API for encryption,Use the KMS GenerateDataKeyAPi to get an encryption key,Use the KMS GeneraceDaraHeywithoutPlainTexr API to get an encryption key,Pass the data to KMS as part of the Encrypt API for encryption.,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:05.000563
1798,"A company is migrating its on-premises database to Amazon RDS for MySQL. The company has readheavy workloads, and wants to make sure it re-factors its code to achieve optimum read performance for its queries. How can this objective be met?",Add database retries to effectively use RDS with vertical scaling,Use RDS with multi-AZ deployment,Add a connection string to use an RDS read replica for read queries.,Add a connection string to use a read replica on an EC2 instance,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:05.307123
1799,"A company stores documents in Amazon S3 with default settings A new regulation requires the company to encrypt the documents at rest, rotate the encryption keys annually, and keep a record of when the encryption keys were rotated. The company does not want to manage the encryption keys outside of AWS Which solution will meet these requirements?",Use server-side encryption with Amazon S3 managed encryption keys (SSE-S3).,Use server-side encryption with AWS KMS managed encryption keys (SSE-KMS),Use server-side encryption with customer-provided encryption keys (SSE-C),Use client-side encryption before sending the data to Amazon S3,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:05.614331
1800,"A company has a web application that runs on Amazon EC2 instances with a custom Amazon Machine Image (AMI) The company uses AWS CloudFormation to provision the application. The application runs in the us-east-1 Region, and the company needs to deploy the application to the uswest- 1 Region An attempt to create the AWS CloudFormation stack in us-west-1 fails An error message states that the AMI ID does not exist A developer must resolve this error with a solution that uses the least amount of operational overhead. Which solution meets these requirements?",Change the AWS CloudFormation templates for us-east-1 and us-west-1 to use an AWS AMI Relaunch the stack for both Regions,Copy the custom AMI from us-east-1 to us-west-1 Update the AWS CloudFormation template for us-west-1 to refer to AMI ID for the copied AMI. Relaunch the stack.,Build the custom AMI in us-west-1 Create a new AWS CloudFormation template to launch the stack in us-west-1 with the new AMI ID,Manually deploy the application outside AWS CloudFormation in us-west-1,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:05.927056
1801,A developer is creating an AWS Lambda function that generates a new file each time it runs Each new file must be checked into an AWS CodeCommit repository hosted in the same AWS account How should the developer accomplish this?,"When the Lambda function starts, use the Git CLI to clone the repository Check the new file into the cloned repository and push the change.","After the new file is created in Lambda, use cURL to invoke the CodeCommit API Send the file to the repository.",Use an AWS SDK to instantiate a CodeCommit client Invoke the put_file method to add the file to the repository,"Upload the new file to an Amazon S3 bucket Create an AWS Step Function to accept S3 events In the Step Function, add the new file to the repository",,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:06.229654
1802,A company is using an AWS Lambda function to process records from an Amazon Kinesis data stream The company recently observed slow processing of the records .A developer notices that the iterator age metric for the function is increasing and that the Lambda run duration is constantly above normal. Which actions should the developer take to increase the processing speed? (Select TWO.),Increase the number of shards of the Kinesis data stream.,Decrease the timeout of the Lambda function,Increase the memory that is allocated to the Lambda function,Decrease the number of shards of the Kinesis data stream,,AC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:06.538431
1803,A developer has created a web API that uses Amazon Elastic Container Service (Amazon ECS) and an Application Load Balancer (ALB) An Amazon CloudFront distribution uses the API as an origin for web clients The application has received millions of requests with a JSON Web Token (JWT) that is not valid in the authorization header The developer has scaled out the application to handle the unauthenticated requests What should the developer do to reduce the number of unauthenticated requests to the API?,Add a request routing rule to the ALB to return a 401 status code if the authorization header is missing,Add a container to the ECS task definition to validate JWTs Set the new container as a dependency of the application container,Create a CloudFront function for the distribution Use the crypto module in the function to validate the JWT,Add a custom authorizer for AWS Lambda to the CloudFront distribution to validate the JWT,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:06.845457
1804,A company is using continuous integration/continuous delivery (CI/CD) systems A developer must automate the deployment of an application software package to Amazon EC2 instances and virtual servers that run on premises Which AWS service should the developer use to meet these requirements?,AWS Cloud9,AWS CodeBuild,AWS Elastic Beanstalk,AWS CodeDeploy,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:07.255756
1805,An application needs to encrypt data that is written to Amazon S3 where the keys are managed in an on-premises data center and the encryption is handled by S3 Which type of encryption should be used?,Use server-side encryption with Amazon S3-managed keys,Use server-side encryption with AWS KMS-managed keys,Use client-side encryption with AWS KMS-managed keys,Use server-side encryption with customer-provided keys.,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:08.073364
1806,A developer is writing a new AWS Serverless Application Model (AWS SAM) template with a new AWS Lambda function. The Lambda function runs complex code. The developer wants to test the Lambda function with more CPU power What should the developer do to meet this requirement?,Increase the runtime engine version,Increase the timeout,Increase the number of Lambda layers,Increase the memory.,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:08.379372
1807,A developer needs to modify an application architecture to meet new functional requirements Application data is stored in Amazon DynamoDB and processed for analysis in a nightly batch. The system analysts do not want to wait until the next day to view the processed data and have asked to have it available in near-real time. Which application architecture pattern would enable the data to be processed as it is received?,Event driven,Client-server driven,Fan-out driven,Schedule driven,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:08.636720
1808,A developer has written code for an application and wants to share it with other developers on the team to receive feedback. The shared application code needs to be stored long-term with multiple versions and batch change tracking Which AWS service should the developer use?,AWS CodeBuild,Amazon S3,AWS CodeCommit,AWS Cloud9,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:08.889210
1809,A developer uses a single AWS CloudFormation template to configure the test environment and the production environment for an application The developer handles environment-specific requirements in the CloudFormation template. The developer decides to update the Amazon EC2 Auto Scaling launch template with new Amazon Machine Images (AMIs) for each environment The CloudFormation update for the new AMIs is successful in the test environment but the update fails in the production environment. What are the possible causes of the CloudFormation update failure in the production environment? (Select TWO ),The new AMIs do not fulfill the specified conditions in the CloudFormation template,The service quota for the number of EC2 vCPUs in the AWS Region has been exceeded. .,The security group that is specified in the CloudFormation template does not exist,CloudFormation does not recognize the template change as an update,,AB,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:09.201314
1810,"Given the source code for an AWS Lambda function in the local file store, py containing a handler function called get_store and the following AWS CloudFormation template: What should be done to prepare the template so that it can be deployed using the AWS CLI command aws cloudforroation deploy?",Use aws cloudformacion compile to base64 encode and embed the source file into a modified CloudFormation template.,Use aws cloudformacion package to upload the source code to an Amazon S3 bucket and produce a modified CloudFormation template,Use aws lambda zip to package the source file together with the CloudFormation template and deploy the resulting zip archive,Use aws serveriess create-package to embed the source file directly into the existing CloudFormation template,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:09.506408
1811,"A developer has a legacy application that is hosted on-premises Other applications hosted on AWS depend on the on-premises application for proper functioning In case of any application errors, the developer wants to be able to use Amazon CloudWatch to monitor and troubleshoot all applications from one place. How can the developer accomplish this?",Install an AWS SDK on the on-premises server to automatically send logs to CloudWatch.,Download the CloudWatch agent to the on-premises server Configure the agent to use I AM user credentials with permissions for CloudWatch,Upload log files from the on-premises server to Amazon S3 and have CloudWatch read the files.,Upload log files from the on-premises server to an Amazon EC2 instance and have the instance forward the logs to CloudWatch,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:09.814475
1812,A developer is building a serverless application that is based on AWS Lambd a. The developer initializes the AWS software development kit (SDK) outside of the Lambda handler function. What is the PRIMARY benefit of this action?,Improves legibility and stylistic convention,Takes advantage of runtime environment reuse,Provides better error handling,Creates a new SDK instance for each invocation,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:10.120634
1813,A company has an application where reading objects from Amazon S3 is based on the type of user. The user types are registered user and guest user. The company has 25.000 users and is growing. Information is pulled from an S3 bucket depending on the user type. Which approaches are recommended to provide access to both user types? (Select TWO.),Provide a different access key and secret access key in the application code for registered users and guest users to provide read access to the objects.,Use S3 bucket policies to restrict read access to specific IAM users,Use Amazon Cognito to provide access using authenticated and unauthenticated roles,Create a new 1AM user for each user and grant read access,,CE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:10.427159
1814,A developer must extend an existing application that is based on the AWS Serverless Application Model (AWS SAM) The developer has used the AWS SAM CLI to create the project. The project contains different AWS Lambda functions. Which combination of commands must the developer use to redeploy the AWS SAM application? (Select TWO.),sam mit,sam validate,sam build,sam deploy,,CD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:10.734506
1815,"A company created an application to consume and process dat a. The application uses Amazon Simple Queue Service (Amazon SQS) and AWS Lambda functions. The application is currently working as expected, but it occasionally receives several messages that it cannot process properly The company needs to clear these messages to prevent the queue from becoming blocked A developer must implement a solution that makes queue processing always operational. The solution must give the company the ability to defer the messages with errors and save these messages for further analysis What is the MOST operationally efficient solution that meets these requirements?",Configure Amazon CloudWatch Logs to save the error messages to a separate log stream,Create a new SQS queue. Set the new queue as a dead-letter queue for the application queue Configure the Maximum Receives setting.,Change the SQS queue to a FIFO queue Configure the message retention penod to 0 seconds,Configure an Amazon CloudWatch alarm for Lambda function errors Publish messages to an Amazon Simple Notification Service (Amazon SNS) topic to notify administrator users,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:11.044436
1816,"A company is using Amazon RDS as the backend database for its application After a recent marketing campaign, a surge of read requests to the database increased the latency of data retrieval from the database. The company has decided to implement a caching layer in front of the database. The cached content must be encrypted and must be highly available Which solution will meet these requirements?",Amazon CloudFront,Amazon ElastiCache for Memcached,Amazon ElastiCache for Redis in cluster mode,Amazon DynamoDB Accelerator (DAX),,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:11.352400
1817,A developer needs to create an application that supports Security Assertion Markup Language (SAML) and authentication with social media providers. It must also allow access to AWS services such as Amazon DynamoDB. Which AWS service or feature will meet these requirements with the LEAST amount of additional coding?,AWS AppSync,Amazon Cognito identrtv pools,Amazon Cognito user pools,Amazon Lambda@Edge,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:11.656257
1818,An application running on Amazon EC2 opens connections to an Amazon RDS SQL Server database The developer does not want to store the user name and password for the database in the code. The developer would also like to automatically rotate the credentials. What is the MOST secure way to store and access the database credentials?,Create an IAM role that has permissions to access the database Attach the role to the EC2 instance,Use AWS Secrets Manager to store the credentials Retrieve the credentials from Secrets Manager as needed,Store the credentials in an encrypted text file in an Amazon S3 bucket Configure the EC2 instance's user data to download the credentials from Amazon S3 as the instance boots.,Store the user name and password credentials directly in the source code No further action is needed because the source code is stored in a private repository,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:11.968317
1819,"A developer is writing an application to analyze the traffic to a fleet of Amazon EC2 instances. The EC2 instances run behind a public Application Load Balancer (ALB) An HTTP server runs on each of the EC2 instances, logging all requests to a log file. The developer wants to capture the client public IP addresses. The developer analyzes the log files and notices only the IP address of the ALB What must the developer do to capture the client public IP addresses in the log file?",Add a Host header to the HTTP server log configuration file.,Install the Amazon CloudWatch Logs agent on each EC2 instance Configure the agent to write to the log file,Install the AWS X-Ray daemon on each EC2 instance. Configure the daemon to write to the log file,Add an X-Forwarded-For header to the HTTP server log configuration file,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:12.273607
1820,A developer is writing an application in Python. The application runs on AWS Lambd a. The application generates a file and needs to upload this file to Amazon S3. The developer must implement this upload functionality with the least possible change to the application code Which solution meets these requirements?,Make an HTTP request directly to the S3 API to upload the file,Include the AWS SDK for Python in the Lambda function Use the SDK to upload the file,Use the AWS SDK for Python that is installed in the Lambda environment to upload the file,Use the AWS CLI that is installed in the Lambda environment to upload the file,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:12.577548
1821,"A company's ecommerce website is experiencing sudden and significant traffic changes that are causing performance problems in the company database. Users report that attempts to access the website are taking too long. A developer needs to implement a caching layer by using Amazon ElastiCache. The website must be responsive, no matter which product a user views Updates to product information and prices must be strongly consistent. Which cache-writing strategy will meet these requirements?",Write to the cache directly Synchronize the backend later,Write to the backend first Wait for the cache to expire,Write to the cache and the backend at the same time,Write to the backend first. Then update the TTL of the item in the cache=,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:12.893026
1822,"A developer needs to migrate an application from on premises to AWS. The application is written m PHP, uses a MySQL database, and has a small number of users. The application receives a significant load for 1 week each month The developer must minimize the cost of migrating and running the application Which solution will meet these requirements?",Migrate the database to an Amazon Aurora single-instance cluster Deploy the application on Amazon EC2 instances that are in an Auto Scaling group behind an Application Load Balancer Set the Auto Scaling group's minimum capacity to 1 Set up an Amazon ElastiCache for Memcached instance for sessions.,"Redevelop the application to use serverless capabilities that include AWS Lambda. Amazon API Gateway, and Amazon Aurora Serverless Run the application code by using the standard Lambda PHP runtime environment Migrate the database to Aurora Serverless",Migrate the database to an Amazon Aurora single-instance cluster Deploy the application on Amazon EC2 instances that are in an Auto Scaling group behind an Application Load Balancer (ALB) Set the Auto Scaling group's minimum capacity to 1 Enable session affinity (sticky sessions) on the ALB,Migrate the application to an Amazon Aurora two-instance cluster. Deploy the application on Amazon EC2 instances that are in an Auto Scaling group behind an Application Load Balancer Set the Auto Scaling group's minimum capacity to 2 Set up an Amazon ElastiCache for Memcached twoinstance cluster.,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:13.192291
1823,An application runs on multiple EC2 instances behind an ELB. Where is the session data best written so that it can be served reliably across multiple requests?,Write data to Amazon ElastiCache.,Write data to Amazon Elastic Block Store,Write data to Amazon EC2 Instance Store,Write data to the root filesystem,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:49:13.501175
